Cluster_ID;Codice;Nome;Componente;Descrizione;N_Events;Mean_Duration;N_Tuples;Occurrences
435;107030;_IDoorDCSFlt_;T7_Porta_gangway_1;Guasto microswitch porta Gangway 1;4;3.62;24;24
435;108028;_IDoorUnblock_;M8_Porta_gangway_1;Guasto microswitch porta Gangway;4;3.62;24;24
435;108030;_IDoorDCSFlt_;M8_Porta_gangway_1;Guasto microswitch porta Gangway;4;3.62;24;24
857;105036;_IDoorUnblock_;T5_Porta_gangway_2;Guasto microswitch porta Gangway 2;2;0.12;23;23
857;105038;_IDoorDCSFlt_;T5_Porta_gangway_2;Guasto microswitch porta Gangway 2;2;0.12;23;23
868;104036;_IDoorUnblock_;T4_Porta_gangway_2;Guasto microswitch porta Gangway 2;2;0.00;23;23
868;104038;_IDoorDCSFlt_;T4_Porta_gangway_2;Guasto microswitch porta Gangway 2;2;0.00;23;23
12;11050;_HVACcabNotOK_;HVAC_CAB_M1;Perdita di comunicazione con HVAC cabina M1;2;3.07;22;22
12;ILCK_PROP_03;ILCK_PROP_03;VEHICLE;Cod. 03 Comando di frenatura da manipolatore attivo;2;3.07;22;22
36;ILCK_PROP_13M1;ILCK_PROP_13_M1;MDS;Cod. 13 Leva MC 6S01 non in trazione;2;0.40;22;22
36;ILCK_PROP_17M1;ILCK_PROP_17M1;MDS;Cod. 17 Filo treno Taglio Trazione non alimentato;2;0.40;22;22
73;ILCK_PROP_01;ILCK_PROP_01;VEHICLE;Cod. 01 Max fren. di servizio richiesta da segnalamento;4;3.37;21;21
73;ILCK_PROP_03;ILCK_PROP_03;VEHICLE;Cod. 03 Comando di frenatura da manipolatore attivo;4;3.37;21;21
73;ILCK_PROP_04;ILCK_PROP_04;VEHICLE;Cod. 04 Condotta Generale scarica;4;3.37;21;21
73;ILCK_PROP_05;ILCK_PROP_05;VEHICLE;Cod. 05 Taglio trazione da SSB attivo;4;3.37;21;21
44;ILCK_PROP_13M8;ILCK_PROP_13_M8;MDS;Cod. 13 Leva MC 6S01 non in trazione;2;0.24;20;20
44;ILCK_PROP_17M8;ILCK_PROP_17M8;MDS;Cod. 17 Filo treno Taglio Trazione non alimentato;2;0.24;20;20
382;151021;_LowSpdTL_;M1_9K42;Linea treno Velocita' zero  attiva in M1-T4;2;0.08;20;20
382;158021;_LowSpdTL_;M8_9K42;Linea treno Velocita' zero  attiva in M8-T5;2;0.08;20;20
854;151021;_LowSpdTL_;M1_9K42;Linea treno Velocita' zero  attiva in M1-T4;4;2.91;20;20
854;158021;_LowSpdTL_;M8_9K42;Linea treno Velocita' zero  attiva in M8-T5;4;2.91;20;20
854;ILCK_PROP_08;ILCK_PROP_08;VEHICLE;Cod. 08 Loop porte aperto;4;2.91;20;20
854;ILCK_PROP_12M8;ILCK_PROP_12M8;MDS;Cod. 12 Rilascio Porte Sinistre Attivo;4;2.91;20;20
23;51004;ScmtInserito;SCMT_M1;Piastra ERTMS inserita in M1;2;2.21;19;19
23;ILCK_PROP_04;ILCK_PROP_04;VEHICLE;Cod. 04 Condotta Generale scarica;2;2.21;19;19
860;151023;_Front_;VEHICLE;Direzione avanti in M1;2;0.12;19;19
860;158024;_Rear_;VEHICLE;Direzione indietro in M8;2;0.12;19;19
468;104036;_IDoorUnblock_;T4_Porta_gangway_2;Guasto microswitch porta Gangway 2;4;3.41;17;17
468;104038;_IDoorDCSFlt_;T4_Porta_gangway_2;Guasto microswitch porta Gangway 2;4;3.41;17;17
468;105036;_IDoorUnblock_;T5_Porta_gangway_2;Guasto microswitch porta Gangway 2;4;3.41;17;17
468;105038;_IDoorDCSFlt_;T5_Porta_gangway_2;Guasto microswitch porta Gangway 2;4;3.41;17;17
866;151021;_LowSpdTL_;M1_9K42;Linea treno Velocita' zero  attiva in M1-T4;3;4.75;17;17
866;158021;_LowSpdTL_;M8_9K42;Linea treno Velocita' zero  attiva in M8-T5;3;4.75;17;17
866;ILCK_PROP_03;ILCK_PROP_03;VEHICLE;Cod. 03 Comando di frenatura da manipolatore attivo;3;4.75;17;17
72;ILCK_PROP_01;ILCK_PROP_01;VEHICLE;Cod. 01 Max fren. di servizio richiesta da segnalamento;3;1.49;16;16
72;ILCK_PROP_04;ILCK_PROP_04;VEHICLE;Cod. 04 Condotta Generale scarica;3;1.49;16;16
72;ILCK_PROP_05;ILCK_PROP_05;VEHICLE;Cod. 05 Taglio trazione da SSB attivo;3;1.49;16;16
158;48353;9K48_Emg;FRENO;Frenatura di emergenza attivata da leva di frenatura in M8;4;1.53;16;16
158;ILCK_PROP_03;ILCK_PROP_03;VEHICLE;Cod. 03 Comando di frenatura da manipolatore attivo;4;1.53;16;16
158;ILCK_PROP_04;ILCK_PROP_04;VEHICLE;Cod. 04 Condotta Generale scarica;4;1.53;16;16
158;ILCK_PROP_18M8;ILCK_PROP_18M8;MDS;Cod. 18 Linea Emergenza Attiva;4;1.53;16;16
521;151021;_LowSpdTL_;M1_9K42;Linea treno Velocita' zero  attiva in M1-T4;4;2.70;16;16
521;158021;_LowSpdTL_;M8_9K42;Linea treno Velocita' zero  attiva in M8-T5;4;2.70;16;16
521;ILCK_PROP_08;ILCK_PROP_08;VEHICLE;Cod. 08 Loop porte aperto;4;2.70;16;16
521;ILCK_PROP_11M8;ILCK_PROP_11M8;MDS;Cod. 11 Rilascio Porte Destre Attivo;4;2.70;16;16
863;101028;_IDoorUnblock_;M1_Porta_gangway_1;Guasto microswitch porta Gangway;2;0.00;16;16
863;101030;_IDoorDCSFlt_;M1_Porta_gangway_1;Guasto microswitch porta Gangway;2;0.00;16;16
38;ILCK_PROP_03;ILCK_PROP_03;VEHICLE;Cod. 03 Comando di frenatura da manipolatore attivo;3;2.21;15;15
38;ILCK_PROP_13M1;ILCK_PROP_13_M1;MDS;Cod. 13 Leva MC 6S01 non in trazione;3;2.21;15;15
38;ILCK_PROP_22M1;ILCK_PROP_22M1;MDS;Cod. 22 Manettino fuori coasting dopo taglio trazione;3;2.21;15;15
56;58004;ScmtInserito;SCMT_M8;Piastra ERTMS inserita in M8;2;2.54;13;13
56;ILCK_PROP_04;ILCK_PROP_04;VEHICLE;Cod. 04 Condotta Generale scarica;2;2.54;13;13
128;ILCK_PROP_01;ILCK_PROP_01;VEHICLE;Cod. 01 Max fren. di servizio richiesta da segnalamento;5;4.60;13;13
128;ILCK_PROP_04;ILCK_PROP_04;VEHICLE;Cod. 04 Condotta Generale scarica;5;4.60;13;13
128;ILCK_PROP_05;ILCK_PROP_05;VEHICLE;Cod. 05 Taglio trazione da SSB attivo;5;4.60;13;13
128;ILCK_PROP_13M1;ILCK_PROP_13_M1;MDS;Cod. 13 Leva MC 6S01 non in trazione;5;4.60;13;13
128;ILCK_PROP_22M1;ILCK_PROP_22M1;MDS;Cod. 22 Manettino fuori coasting dopo taglio trazione;5;4.60;13;13
113;41353;9K48_Emg;FRENO;Frenatura di emergenza attivata da leva di frenatura in M1;4;1.60;12;12
113;ILCK_PROP_03;ILCK_PROP_03;VEHICLE;Cod. 03 Comando di frenatura da manipolatore attivo;4;1.60;12;12
113;ILCK_PROP_04;ILCK_PROP_04;VEHICLE;Cod. 04 Condotta Generale scarica;4;1.60;12;12
113;ILCK_PROP_18M1;ILCK_PROP_18M1;MDS;Cod. 18 Linea Emergenza Attiva;4;1.60;12;12
207;18050;_HVACcabNotOK_;HVAC_CAB_M8;Perdita di comunicazione con HVAC cabina M1;2;3.47;12;12
207;ILCK_PROP_03;ILCK_PROP_03;VEHICLE;Cod. 03 Comando di frenatura da manipolatore attivo;2;3.47;12;12
665;ILCK_Panto_T2_03;ILCK_Panto_T2_03;T2_PANTO;Cod 03. Treno in spegnimento;2;0.24;12;12
665;ILCK_Panto_T7_03;ILCK_Panto_T7_03;T7_PANTO;Cod 03. Treno in spegnimento;2;0.24;12;12
875;102036;_IDoorUnblock_;T2_Porta_gangway_2;Guasto microswitch porta Gangway 2;2;0.00;12;12
875;102038;_IDoorDCSFlt_;T2_Porta_gangway_2;Guasto microswitch porta Gangway 2;2;0.00;12;12
145;18050;_HVACcabNotOK_;HVAC_CAB_M8;Perdita di comunicazione con HVAC cabina M1;2;3.27;11;11
145;ILCK_PROP_13M8;ILCK_PROP_13_M8;MDS;Cod. 13 Leva MC 6S01 non in trazione;2;3.27;11;11
883;150017;_CmdCloseIR_;VEHICLE;Comando chiusura IR/IP da banco;4;1.82;11;11
883;152019;_1Q21_;T2_1Q2_IR;IR chiuso in cassa T2;4;1.82;11;11
883;EVT_IP_T2_47;EVT_IP_T2_47;T2_1Q4_IP;Cod 47. Line Voltage Type non 25KV;4;1.82;11;11
883;EVT_IP_T7_47;EVT_IP_T7_47;T7_1Q4_IP;Cod 47. Line Voltage Type non 25KV;4;1.82;11;11
905;103019;_IDoorUnblock_;M3_Porta_comparto_2;Guasto microswitch porta interna 2;2;0.00;11;11
905;103021;_IDoorDCSFlt_;M3_Porta_comparto_2;Guasto microswitch porta interna 2;2;0.00;11;11
25;150026;_9S14_;VEHICLE;Pressione CP sotto 8.5 bar in M8 (press. 9S14);2;3.14;10;10
25;ILCK_PROP_03;ILCK_PROP_03;VEHICLE;Cod. 03 Comando di frenatura da manipolatore attivo;2;3.14;10;10
386;137017;_StToiletSys_;TOIL_T7;Toilette fuori servizio veicolo T7;2;1.10;10;10
386;137025;_SecondValveFlt_;TOIL_T7;Guasto valvola secondaria WC toilette T7;2;1.10;10;10
527;102028;_IDoorUnblock_;T2_Porta_gangway_1;Guasto microswitch porta Gangway 1;2;0.48;10;10
527;102030;_IDoorDCSFlt_;T2_Porta_gangway_1;Guasto microswitch porta Gangway 1;2;0.48;10;10
584;103028;_IDoorUnblock_;M3_Porta_gangway_1;Guasto microswitch porta Gangway 1;2;0.28;10;10
584;103030;_IDoorDCSFlt_;M3_Porta_gangway_1;Guasto microswitch porta Gangway 1;2;0.28;10;10
896;102036;_IDoorUnblock_;T2_Porta_gangway_2;Guasto microswitch porta Gangway 2;4;2.56;10;10
896;102038;_IDoorDCSFlt_;T2_Porta_gangway_2;Guasto microswitch porta Gangway 2;4;2.56;10;10
896;103028;_IDoorUnblock_;M3_Porta_gangway_1;Guasto microswitch porta Gangway 1;4;2.56;10;10
896;103030;_IDoorDCSFlt_;M3_Porta_gangway_1;Guasto microswitch porta Gangway 1;4;2.56;10;10
76;ILCK_PROP_01;ILCK_PROP_01;VEHICLE;Cod. 01 Max fren. di servizio richiesta da segnalamento;5;4.47;9;9
76;ILCK_PROP_04;ILCK_PROP_04;VEHICLE;Cod. 04 Condotta Generale scarica;5;4.47;9;9
76;ILCK_PROP_05;ILCK_PROP_05;VEHICLE;Cod. 05 Taglio trazione da SSB attivo;5;4.47;9;9
76;ILCK_PROP_13M8;ILCK_PROP_13_M8;MDS;Cod. 13 Leva MC 6S01 non in trazione;5;4.47;9;9
76;ILCK_PROP_22M8;ILCK_PROP_22M8;MDS;Cod. 22 Manettino fuori coasting dopo taglio trazione;5;4.47;9;9
341;151014;_DCPantoSts_;VEHICLE;Pantografo DC alto in T2;4;0.36;9;9
341;ILCK_IR_T2_01;ILCK_IR_T2_01;T2_1Q2_IR;Cod 01. Mancanza tensione di linea su treno locale;4;0.36;9;9
341;ILCK_IR_T2_40;ILCK_IR_T2_40;T2_1Q2_IR;Cod 40. Contattore 1Q1 non nello stato DC;4;0.36;9;9
341;ILCK_IR_T7_01;ILCK_IR_T7_01;T2_1Q2_IR;Cod 01. Mancanza tensione di linea su treno locale;4;0.36;9;9
24;ILCK_PROP_03;ILCK_PROP_03;VEHICLE;Cod. 03 Comando di frenatura da manipolatore attivo;3;4.63;8;8
24;ILCK_PROP_04;ILCK_PROP_04;VEHICLE;Cod. 04 Condotta Generale scarica;3;4.63;8;8
24;ILCK_PROP_13M8;ILCK_PROP_13_M8;MDS;Cod. 13 Leva MC 6S01 non in trazione;3;4.63;8;8
39;ILCK_PROP_13M1;ILCK_PROP_13_M1;MDS;Cod. 13 Leva MC 6S01 non in trazione;3;4.20;8;8
39;ILCK_PROP_17M1;ILCK_PROP_17M1;MDS;Cod. 17 Filo treno Taglio Trazione non alimentato;3;4.20;8;8
39;ILCK_PROP_22M1;ILCK_PROP_22M1;MDS;Cod. 22 Manettino fuori coasting dopo taglio trazione;3;4.20;8;8
492;101028;_IDoorUnblock_;M1_Porta_gangway_1;Guasto microswitch porta Gangway;4;3.17;8;8
492;101030;_IDoorDCSFlt_;M1_Porta_gangway_1;Guasto microswitch porta Gangway;4;3.17;8;8
492;102028;_IDoorUnblock_;T2_Porta_gangway_1;Guasto microswitch porta Gangway 1;4;3.17;8;8
492;102030;_IDoorDCSFlt_;T2_Porta_gangway_1;Guasto microswitch porta Gangway 1;4;3.17;8;8
887;158014;_DCPantoSts_;VEHICLE;Pantografo DC alto in T7;4;0.40;8;8
887;ILCK_IR_T2_01;ILCK_IR_T2_01;T2_1Q2_IR;Cod 01. Mancanza tensione di linea su treno locale;4;0.40;8;8
887;ILCK_IR_T7_01;ILCK_IR_T7_01;T2_1Q2_IR;Cod 01. Mancanza tensione di linea su treno locale;4;0.40;8;8
887;ILCK_IR_T7_40;ILCK_IR_T7_40;T2_1Q2_IR;Cod 40. Contattore 1Q1 non nello stato DC;4;0.40;8;8
33;11050;_HVACcabNotOK_;HVAC_CAB_M1;Perdita di comunicazione con HVAC cabina M1;2;2.40;7;7
33;ILCK_PROP_13M1;ILCK_PROP_13_M1;MDS;Cod. 13 Leva MC 6S01 non in trazione;2;2.40;7;7
40;ILCK_PROP_04;ILCK_PROP_04;VEHICLE;Cod. 04 Condotta Generale scarica;4;7.51;7;7
40;ILCK_PROP_13M1;ILCK_PROP_13_M1;MDS;Cod. 13 Leva MC 6S01 non in trazione;4;7.51;7;7
40;ILCK_PROP_17M1;ILCK_PROP_17M1;MDS;Cod. 17 Filo treno Taglio Trazione non alimentato;4;7.51;7;7
40;ILCK_PROP_22M1;ILCK_PROP_22M1;MDS;Cod. 22 Manettino fuori coasting dopo taglio trazione;4;7.51;7;7
75;ILCK_PROP_01;ILCK_PROP_01;VEHICLE;Cod. 01 Max fren. di servizio richiesta da segnalamento;6;5.15;7;7
75;ILCK_PROP_03;ILCK_PROP_03;VEHICLE;Cod. 03 Comando di frenatura da manipolatore attivo;6;5.15;7;7
75;ILCK_PROP_04;ILCK_PROP_04;VEHICLE;Cod. 04 Condotta Generale scarica;6;5.15;7;7
75;ILCK_PROP_05;ILCK_PROP_05;VEHICLE;Cod. 05 Taglio trazione da SSB attivo;6;5.15;7;7
75;ILCK_PROP_13M8;ILCK_PROP_13_M8;MDS;Cod. 13 Leva MC 6S01 non in trazione;6;5.15;7;7
75;ILCK_PROP_22M8;ILCK_PROP_22M8;MDS;Cod. 22 Manettino fuori coasting dopo taglio trazione;6;5.15;7;7
130;ILCK_PROP_01;ILCK_PROP_01;VEHICLE;Cod. 01 Max fren. di servizio richiesta da segnalamento;6;3.92;7;7
130;ILCK_PROP_03;ILCK_PROP_03;VEHICLE;Cod. 03 Comando di frenatura da manipolatore attivo;6;3.92;7;7
130;ILCK_PROP_04;ILCK_PROP_04;VEHICLE;Cod. 04 Condotta Generale scarica;6;3.92;7;7
130;ILCK_PROP_05;ILCK_PROP_05;VEHICLE;Cod. 05 Taglio trazione da SSB attivo;6;3.92;7;7
130;ILCK_PROP_13M1;ILCK_PROP_13_M1;MDS;Cod. 13 Leva MC 6S01 non in trazione;6;3.92;7;7
130;ILCK_PROP_22M1;ILCK_PROP_22M1;MDS;Cod. 22 Manettino fuori coasting dopo taglio trazione;6;3.92;7;7
346;151023;_Front_;VEHICLE;Direzione avanti in M1;3;2.97;7;7
346;158024;_Rear_;VEHICLE;Direzione indietro in M8;3;2.97;7;7
346;ILCK_PROP_10;ILCK_PROP_10;VEHICLE;Cod. 10 Nessuna velocita' impostata;3;2.97;7;7
352;ILCK_PROP_08;ILCK_PROP_08;VEHICLE;Cod. 08 Loop porte aperto;3;1.40;7;7
352;ILCK_PROP_11M8;ILCK_PROP_11M8;MDS;Cod. 11 Rilascio Porte Destre Attivo;3;1.40;7;7
352;ILCK_PROP_12M8;ILCK_PROP_12M8;MDS;Cod. 12 Rilascio Porte Sinistre Attivo;3;1.40;7;7
881;41042;_Ed1Low_;BCU_M1;Sforzo frenatura dinamica insufficiente in frenatura di servizio;4;1.09;7;7
881;43043;_Ed2Low_;BCU_M3;Sforzo frenatura dinamica insufficiente in frenatura di servizio;4;1.09;7;7
881;46043;_Ed2Low_;BCU_M6;Sforzo frenatura dinamica insufficiente in frenatura di servizio;4;1.09;7;7
881;48042;_Ed1Low_;BCU_M8;Sforzo frenatura dinamica insufficiente in frenatura di servizio;4;1.09;7;7
897;23476;OP_DCMAINCNT_PREC_DC;CONV_TRAZ_M3;Apertura forz. contatt. Convert. Princip. DC;3;0.54;7;7
897;28476;OP_DCMAINCNT_PREC_DC;CONV_TRAZ_M8;Apertura forz. contatt. Convert. Princip. DC;3;0.54;7;7
897;ILCK_PROP_14;ILCK_PROP_14;MDS;Cod. 14 Nessuna direzione impostata;3;0.54;7;7
84;ILCK_PROP_03;ILCK_PROP_03;VEHICLE;Cod. 03 Comando di frenatura da manipolatore attivo;3;2.07;6;6
84;ILCK_PROP_13M8;ILCK_PROP_13_M8;MDS;Cod. 13 Leva MC 6S01 non in trazione;3;2.07;6;6
84;ILCK_PROP_22M8;ILCK_PROP_22M8;MDS;Cod. 22 Manettino fuori coasting dopo taglio trazione;3;2.07;6;6
146;18050;_HVACcabNotOK_;HVAC_CAB_M8;Perdita di comunicazione con HVAC cabina M1;2;2.63;6;6
146;ILCK_PROP_13M1;ILCK_PROP_13_M1;MDS;Cod. 13 Leva MC 6S01 non in trazione;2;2.63;6;6
177;41357;BRKSTS_TL_Inc1;FRENO;Incongruenza BRAKE_STATUS_TL e manettino di frenatura M1;4;3.64;6;6
177;ILCK_PROP_03;ILCK_PROP_03;VEHICLE;Cod. 03 Comando di frenatura da manipolatore attivo;4;3.64;6;6
177;ILCK_PROP_04;ILCK_PROP_04;VEHICLE;Cod. 04 Condotta Generale scarica;4;3.64;6;6
177;ILCK_PROP_13M1;ILCK_PROP_13_M1;MDS;Cod. 13 Leva MC 6S01 non in trazione;4;3.64;6;6
385;151021;_LowSpdTL_;M1_9K42;Linea treno Velocita' zero  attiva in M1-T4;4;5.17;6;6
385;158021;_LowSpdTL_;M8_9K42;Linea treno Velocita' zero  attiva in M8-T5;4;5.17;6;6
385;ILCK_PROP_03;ILCK_PROP_03;VEHICLE;Cod. 03 Comando di frenatura da manipolatore attivo;4;5.17;6;6
385;ILCK_PROP_04;ILCK_PROP_04;VEHICLE;Cod. 04 Condotta Generale scarica;4;5.17;6;6
453;11201;CCU_FltWtbR2;VEHICLE;Mancata ricezione R2 in CCU M1;11;8.23;6;6
453;11202;CCU_FltWtbComm;VEHICLE;Mancata comunicazione WTB in CCU M1;11;8.23;6;6
453;150007;_Standby_;VEHICLE;Stato STANDBY attivo;11;8.23;6;6
453;150009;_Parking_;VEHICLE;Stato PARKING attivo;11;8.23;6;6
453;158014;_DCPantoSts_;VEHICLE;Pantografo DC alto in T7;11;8.23;6;6
453;ILCK_IRIP_T2_68;ILCK_IRIP_T2_68;T2_MCB;Cod 68. Mancata comunic. WTB con semitreno remoto;11;8.23;6;6
453;ILCK_IRIP_T7_68;ILCK_IRIP_T7_68;T7_MCB;Cod 68. Mancata comunic. WTB con semitreno remoto;11;8.23;6;6
453;ILCK_IR_T7_40;ILCK_IR_T7_40;T2_1Q2_IR;Cod 40. Contattore 1Q1 non nello stato DC;11;8.23;6;6
453;ILCK_PROP_15;ILCK_PROP_15;MDS;Cod. 15 Nessun banco abilitato;11;8.23;6;6
453;ILCK_Panto_T2_45;ILCK_Panto_T2_45;T2_PANTO;Cod 45. Mancata comunic. WTB con semitreno remoto;11;8.23;6;6
453;ILCK_Panto_T7_45;ILCK_Panto_T7_45;T7_PANTO;Cod 45. Mancata comunic. WTB con semitreno remoto;11;8.23;6;6
861;ILCK_PROP_08;ILCK_PROP_08;VEHICLE;Cod. 08 Loop porte aperto;2;0.73;6;6
861;ILCK_PROP_11M8;ILCK_PROP_11M8;MDS;Cod. 11 Rilascio Porte Destre Attivo;2;0.73;6;6
865;103036;_IDoorUnblock_;M3_Porta_gangway_2;Guasto microswitch porta Gangway 2;4;3.20;6;6
865;103038;_IDoorDCSFlt_;M3_Porta_gangway_2;Guasto microswitch porta Gangway 2;4;3.20;6;6
865;104028;_IDoorUnblock_;T4_Porta_gangway_1;Guasto microswitch porta Gangway 1;4;3.20;6;6
865;104030;_IDoorDCSFlt_;T4_Porta_gangway_1;Guasto microswitch porta Gangway 1;4;3.20;6;6
47;ILCK_PROP_04;ILCK_PROP_04;VEHICLE;Cod. 04 Condotta Generale scarica;4;13.00;5;5
47;ILCK_PROP_13M8;ILCK_PROP_13_M8;MDS;Cod. 13 Leva MC 6S01 non in trazione;4;13.00;5;5
47;ILCK_PROP_17M8;ILCK_PROP_17M8;MDS;Cod. 17 Filo treno Taglio Trazione non alimentato;4;13.00;5;5
47;ILCK_PROP_22M8;ILCK_PROP_22M8;MDS;Cod. 22 Manettino fuori coasting dopo taglio trazione;4;13.00;5;5
63;48357;BRKSTS_TL_Inc1;FRENO;Incongruenza BRAKE_STATUS_TL e manettino di frenatura M8;2;0.12;5;5
63;ILCK_PROP_03;ILCK_PROP_03;VEHICLE;Cod. 03 Comando di frenatura da manipolatore attivo;2;0.12;5;5
66;150026;_9S14_;VEHICLE;Pressione CP sotto 8.5 bar in M8 (press. 9S14);3;4.32;5;5
66;ILCK_PROP_03;ILCK_PROP_03;VEHICLE;Cod. 03 Comando di frenatura da manipolatore attivo;3;4.32;5;5
66;ILCK_PROP_04;ILCK_PROP_04;VEHICLE;Cod. 04 Condotta Generale scarica;3;4.32;5;5
70;ILCK_PROP_02;ILCK_PROP_02;VEHICLE;Cod. 02 Taglio trazione comandato da RCEC;2;0.84;5;5
70;ILCK_PROP_05;ILCK_PROP_05;VEHICLE;Cod. 05 Taglio trazione da SSB attivo;2;0.84;5;5
136;41244;_ManDbvIsol_;BCU_M1;Rubinetto RIM 9S30 chiuso (valvola freni macchinista isolata man.);2;0.49;5;5
136;ILCK_PROP_03;ILCK_PROP_03;VEHICLE;Cod. 03 Comando di frenatura da manipolatore attivo;2;0.49;5;5
138;ILCK_PROP_04;ILCK_PROP_04;VEHICLE;Cod. 04 Condotta Generale scarica;2;2.60;5;5
