event_id,train_id,event_timestamp,event_code,event_name,component,event_description,cluster_id
18,T456,2024-07-09 08:06:44.432612,ILCK_PROP_13M1,ILCK_PROP_13_M1,MDS,Cod. 13 Leva MC 6S01 non in trazione,219
19,T456,2024-07-09 08:06:44.768948,ILCK_IRIP_T7_68,ILCK_IRIP_T7_68,T7_MCB,Cod 68. Mancata comunic. WTB con semitreno remoto,458
20,T456,2024-07-09 08:06:45.592976,ILCK_IR_T2_40,ILCK_IR_T2_40,T2_1Q2_IR,Cod 40. Contattore 1Q1 non nello stato DC,458
21,T456,2024-07-09 08:06:46.416974,ILCK_PROP_15,ILCK_PROP_15,MDS,Cod. 15 Nessun banco abilitato,458
22,T456,2024-07-09 08:06:47.243524,ILCK_Panto_T2_45,ILCK_Panto_T2_45,T2_PANTO,Cod 45. Mancata comunic. WTB con semitreno remoto,458
23,T456,2024-07-09 08:06:48.068506,ILCK_Panto_T7_45,ILCK_Panto_T7_45,T7_PANTO,Cod 45. Mancata comunic. WTB con semitreno remoto,458
24,T456,2024-07-09 08:07:19.075838,132023,_Edg3tms_,TOIL_T2,Intervento bordo sensibile toilette T2,889
25,T456,2024-07-09 08:07:19.476515,132038,_HKPressSwitchFlt_,TOIL_T2,Guasto pressostato porta toilette T2,889
26,T456,2024-07-09 08:07:25.908288,151021,_LowSpdTL_,M1_9K42,Linea treno Velocita' zero  attiva in M1-T4,521
27,T456,2024-07-09 08:07:26.58128,158021,_LowSpdTL_,M8_9K42,Linea treno Velocita' zero  attiva in M8-T5,521
28,T456,2024-07-09 08:07:27.257329,ILCK_PROP_08,ILCK_PROP_08,VEHICLE,Cod. 08 Loop porte aperto,521
29,T456,2024-07-09 08:07:27.931883,ILCK_PROP_11M8,ILCK_PROP_11M8,MDS,Cod. 11 Rilascio Porte Destre Attivo,521
30,T456,2024-07-09 08:07:37.638533,18201,CCU_FltWtbR2,VEHICLE,Mancata ricezione R2 in CCU M8,736
31,T456,2024-07-09 08:07:38.426805,18202,CCU_FltWtbComm,VEHICLE,Mancata comunicazione WTB in CCU M8,736
32,T456,2024-07-09 08:07:39.218286,150007,_Standby_,VEHICLE,Stato STANDBY attivo,736
33,T456,2024-07-09 08:07:40.009019,150009,_Parking_,VEHICLE,Stato PARKING attivo,736
34,T456,2024-07-09 08:07:40.153345,ILCK_PROP_04,ILCK_PROP_04,VEHICLE,Cod. 04 Condotta Generale scarica,180
35,T456,2024-07-09 08:07:40.703617,ILCK_PROP_20M1,ILCK_PROP_20M1,MDS,Cod. 20 Freno di stazionamento attivo (TT a 2 km/h),180
36,T456,2024-07-09 08:07:40.799899,158014,_DCPantoSts_,VEHICLE,Pantografo DC alto in T7,736
37,T456,2024-07-09 08:07:41.591483,ILCK_IRIP_T2_68,ILCK_IRIP_T2_68,T2_MCB,Cod 68. Mancata comunic. WTB con semitreno remoto,736
38,T456,2024-07-09 08:07:42.381919,ILCK_IRIP_T7_68,ILCK_IRIP_T7_68,T7_MCB,Cod 68. Mancata comunic. WTB con semitreno remoto,736
39,T456,2024-07-09 08:07:43.173508,ILCK_IR_T7_40,ILCK_IR_T7_40,T2_1Q2_IR,Cod 40. Contattore 1Q1 non nello stato DC,736
40,T456,2024-07-09 08:07:43.964268,ILCK_PROP_15,ILCK_PROP_15,MDS,Cod. 15 Nessun banco abilitato,736
41,T456,2024-07-09 08:07:44.755219,ILCK_Panto_T2_45,ILCK_Panto_T2_45,T2_PANTO,Cod 45. Mancata comunic. WTB con semitreno remoto,736
42,T456,2024-07-09 08:07:45.546352,ILCK_Panto_T7_45,ILCK_Panto_T7_45,T7_PANTO,Cod 45. Mancata comunic. WTB con semitreno remoto,736
43,T456,2024-07-09 08:07:51.521211,11200,CCU_FltWtbR1,VEHICLE,Mancata ricezione R1 in CCU M1,894
44,T456,2024-07-09 08:07:51.958103,11202,CCU_FltWtbComm,VEHICLE,Mancata comunicazione WTB in CCU M1,894
45,T456,2024-07-09 08:07:52.395132,48069,_EpEscFlt_,BCU_M8,Assistenza EP fuori servizio,894
46,T456,2024-07-09 08:07:52.832664,150006,_Running_,VEHICLE,Stato RUNNING attivo,894
47,T456,2024-07-09 08:07:53.270422,152019,_1Q21_,T2_1Q2_IR,IR chiuso in cassa T2,894
48,T456,2024-07-09 08:07:53.658125,106028,_IDoorUnblock_,M6_Porta_gangway_1,Guasto microswitch porta Gangway 1,856
49,T456,2024-07-09 08:07:53.707589,158002,_DeskKeyIn_,M1_4K14,Chiave di Banco inserita in M8,894
50,T456,2024-07-09 08:07:54.146395,158003,_CabOccupied_,M1_4K14,Banco Abilitato M8,894
51,T456,2024-07-09 08:07:54.53753,106030,_IDoorDCSFlt_,M6_Porta_gangway_1,Guasto microswitch porta Gangway 1,856
52,T456,2024-07-09 08:07:54.58279,ILCK_IRIP_T2_68,ILCK_IRIP_T2_68,T2_MCB,Cod 68. Mancata comunic. WTB con semitreno remoto,894
53,T456,2024-07-09 08:07:55.021515,ILCK_IR_T7_40,ILCK_IR_T7_40,T2_1Q2_IR,Cod 40. Contattore 1Q1 non nello stato DC,894
54,T456,2024-07-09 08:07:55.417801,107036,_IDoorUnblock_,T7_Porta_gangway_2,Guasto microswitch porta Gangway 2,856
55,T456,2024-07-09 08:07:55.457582,ILCK_PROP_04,ILCK_PROP_04,VEHICLE,Cod. 04 Condotta Generale scarica,894
56,T456,2024-07-09 08:07:55.895635,ILCK_PROP_11M8,ILCK_PROP_11M8,MDS,Cod. 11 Rilascio Porte Destre Attivo,894
57,T456,2024-07-09 08:07:56.297385,107038,_IDoorDCSFlt_,T7_Porta_gangway_2,Guasto microswitch porta Gangway 2,856
58,T456,2024-07-09 08:07:56.332437,ILCK_PROP_13M8,ILCK_PROP_13_M8,MDS,Cod. 13 Leva MC 6S01 non in trazione,894
59,T456,2024-07-09 08:07:56.771195,ILCK_PROP_14,ILCK_PROP_14,MDS,Cod. 14 Nessuna direzione impostata,894
60,T456,2024-07-09 08:07:57.208207,ILCK_PROP_18M8,ILCK_PROP_18M8,MDS,Cod. 18 Linea Emergenza Attiva,894
61,T456,2024-07-09 08:07:57.646358,ILCK_PROP_20M8,ILCK_PROP_20M8,MDS,Cod. 20 Freno di stazionamento attivo (TT a 2 km/h),894
62,T456,2024-07-09 08:07:58.082732,ILCK_Panto_T2_45,ILCK_Panto_T2_45,T2_PANTO,Cod 45. Mancata comunic. WTB con semitreno remoto,894
63,T456,2024-07-09 08:08:11.004644,106028,_IDoorUnblock_,M6_Porta_gangway_1,Guasto microswitch porta Gangway 1,856
64,T456,2024-07-09 08:08:11.88627,106030,_IDoorDCSFlt_,M6_Porta_gangway_1,Guasto microswitch porta Gangway 1,856
65,T456,2024-07-09 08:08:12.765548,107036,_IDoorUnblock_,T7_Porta_gangway_2,Guasto microswitch porta Gangway 2,856
66,T456,2024-07-09 08:08:13.645345,107038,_IDoorDCSFlt_,T7_Porta_gangway_2,Guasto microswitch porta Gangway 2,856
67,T456,2024-07-09 08:08:41.892472,151021,_LowSpdTL_,M1_9K42,Linea treno Velocita' zero  attiva in M1-T4,871
68,T456,2024-07-09 08:08:42.947291,158021,_LowSpdTL_,M8_9K42,Linea treno Velocita' zero  attiva in M8-T5,871
69,T456,2024-07-09 08:08:44.003251,ILCK_PROP_04,ILCK_PROP_04,VEHICLE,Cod. 04 Condotta Generale scarica,871
70,T456,2024-07-09 08:08:45.059421,ILCK_PROP_08,ILCK_PROP_08,VEHICLE,Cod. 08 Loop porte aperto,871
71,T456,2024-07-09 08:08:45.625068,151024,_Rear_,VEHICLE,Direzione indietro in M1,888
72,T456,2024-07-09 08:08:45.684492,158023,_Front_,VEHICLE,Direzione avanti in M8,888
73,T456,2024-07-09 08:08:46.114826,ILCK_PROP_12M1,ILCK_PROP_12M1,MDS,Cod. 12 Rilascio Porte Sinistre Attivo,871
74,T456,2024-07-09 08:09:07.878577,ILCK_PROP_03,ILCK_PROP_03,VEHICLE,Cod. 03 Comando di frenatura da manipolatore attivo,24
75,T456,2024-07-09 08:09:09.420757,ILCK_PROP_04,ILCK_PROP_04,VEHICLE,Cod. 04 Condotta Generale scarica,24
76,T456,2024-07-09 08:09:10.019813,103044,_IDoorUnblock_,M3_Porta_intermedia,Guasto microswitch porta intermedia,680
77,T456,2024-07-09 08:09:10.020008,103046,_IDoorDCSFlt_,M3_Porta_intermedia,Guasto microswitch porta intermedia,680
78,T456,2024-07-09 08:09:10.96458,ILCK_PROP_13M8,ILCK_PROP_13_M8,MDS,Cod. 13 Leva MC 6S01 non in trazione,24
79,T456,2024-07-09 08:09:21.104184,151021,_LowSpdTL_,M1_9K42,Linea treno Velocita' zero  attiva in M1-T4,401
80,T456,2024-07-09 08:09:21.895392,158021,_LowSpdTL_,M8_9K42,Linea treno Velocita' zero  attiva in M8-T5,401
81,T456,2024-07-09 08:09:22.683907,ILCK_PROP_08,ILCK_PROP_08,VEHICLE,Cod. 08 Loop porte aperto,401
82,T456,2024-07-09 08:09:23.473949,ILCK_PROP_12M1,ILCK_PROP_12M1,MDS,Cod. 12 Rilascio Porte Sinistre Attivo,401
83,T456,2024-07-09 08:09:32.353549,10085,PntLow3,AT,Abbassamento pantogr. comandato da ERTMS,918
84,T456,2024-07-09 08:09:32.613679,21376,NO_LINE_VOLTAGE,CONV_TRAZ_M1,Nessuna tensione di linea,918
85,T456,2024-07-09 08:09:32.875072,21476,OP_DCMAINCNT_PREC_DC,CONV_TRAZ_M1,Apertura forz. contatt. Convert. Princip. DC,918
86,T456,2024-07-09 08:09:33.135968,23376,NO_LINE_VOLTAGE,CONV_TRAZ_M3,Nessuna tensione di linea,918
87,T456,2024-07-09 08:09:33.396247,23476,OP_DCMAINCNT_PREC_DC,CONV_TRAZ_M3,Apertura forz. contatt. Convert. Princip. DC,918
88,T456,2024-07-09 08:09:33.658116,26376,NO_LINE_VOLTAGE,CONV_TRAZ_M6,Nessuna tensione di linea,918
89,T456,2024-07-09 08:09:33.918731,26476,OP_DCMAINCNT_PREC_DC,CONV_TRAZ_M6,Apertura forz. contatt. Convert. Princip. DC,918
90,T456,2024-07-09 08:09:34.180028,28376,NO_LINE_VOLTAGE,CONV_TRAZ_M8,Nessuna tensione di linea,918
91,T456,2024-07-09 08:09:34.441185,28476,OP_DCMAINCNT_PREC_DC,CONV_TRAZ_M8,Apertura forz. contatt. Convert. Princip. DC,918
92,T456,2024-07-09 08:09:34.700934,93189,_PneuFlt_,M3_Gradino_Porta4,Avaria unita' pneum. gradino porta 4 M3,918
93,T456,2024-07-09 08:09:34.963518,150005,_LineVoltType_,VEHICLE,Selezionata tensione 25 kV,918
94,T456,2024-07-09 08:09:35.22246,150010,_Poc_,VEHICLE,Ingresso in POC,918
95,T456,2024-07-09 08:09:35.483891,150011,_PantoLowSts_,VEHICLE,Nessun pantografo alto,918
96,T456,2024-07-09 08:09:35.744611,150016,_IRIP_OpenSts_,VEHICLE,Nessun IR o IP chiuso,918
97,T456,2024-07-09 08:09:36.005131,151022,_HvOnBoardUnit_,T2_1Q4_IP,Alta tensione non presente in M1-T4,918
98,T456,2024-07-09 08:09:36.267582,ILCK_IP_T2_51,ILCK_IP_T2_51,T2_1Q4_IP,Cod 51. 1Q7 non nello stato di aperto,918
99,T456,2024-07-09 08:09:36.528855,ILCK_IP_T2_55,ILCK_IP_T2_55,T2_1Q4_IP,Cod 55. Sezionatore 1Q7  non aperto in AC,918
100,T456,2024-07-09 08:09:36.790654,ILCK_IP_T7_51,ILCK_IP_T7_51,T7_1Q4_IP,Cod 51. 1Q7 non nello stato di aperto,918
101,T456,2024-07-09 08:09:36.909407,ILCK_PROP_01,ILCK_PROP_01,VEHICLE,Cod. 01 Max fren. di servizio richiesta da segnalamento,72
102,T456,2024-07-09 08:09:37.049828,ILCK_IP_T7_55,ILCK_IP_T7_55,T7_1Q4_IP,Cod 55. Sezionatore 1Q7  non aperto in AC,918
103,T456,2024-07-09 08:09:37.309833,ILCK_IRIP_T2_56,ILCK_IRIP_T2_56,T2_MCB,Cod 56. Apertura da TCU1  locale (M1),918
104,T456,2024-07-09 08:09:37.404574,ILCK_PROP_04,ILCK_PROP_04,VEHICLE,Cod. 04 Condotta Generale scarica,72
105,T456,2024-07-09 08:09:37.570656,ILCK_IRIP_T2_57,ILCK_IRIP_T2_57,T2_MCB,Cod 57. Apertura da TCU2  locale (M3),918
106,T456,2024-07-09 08:09:37.832925,ILCK_IRIP_T7_09,ILCK_IRIP_T7_09,T2_1Q2_IR,Cod 09. Apertura Interruttore principale da ETCS,918
107,T456,2024-07-09 08:09:37.901852,ILCK_PROP_05,ILCK_PROP_05,VEHICLE,Cod. 05 Taglio trazione da SSB attivo,72
108,T456,2024-07-09 08:09:38.093545,ILCK_IRIP_T7_39,ILCK_IRIP_T7_39,T7_MCB,Cod 39. Master Controller non in IDLE,918
109,T456,2024-07-09 08:09:38.354475,ILCK_IRIP_T7_56,ILCK_IRIP_T7_56,T7_MCB,Cod 56. Apertura da TCU1  locale (M8),918
110,T456,2024-07-09 08:09:38.615347,ILCK_IRIP_T7_57,ILCK_IRIP_T7_57,T7_MCB,Cod 57. Apertura da TCU2  locale (M6),918
111,T456,2024-07-09 08:09:38.876747,ILCK_IRIP_T7_58,ILCK_IRIP_T7_58,T7_MCB,Cod 58. Apertura da TCU1 remota (M1),918
112,T456,2024-07-09 08:09:39.138635,ILCK_IRIP_T7_59,ILCK_IRIP_T7_59,T7_MCB,Cod 59. Apertura da TCU2 remota (M3),918
113,T456,2024-07-09 08:09:39.398202,ILCK_IR_T2_01,ILCK_IR_T2_01,T2_1Q2_IR,Cod 01. Mancanza tensione di linea su treno locale,918
114,T456,2024-07-09 08:09:39.659895,ILCK_IR_T2_41,ILCK_IR_T2_41,T2_1Q2_IR,Cod 41. Line Voltage Type non 3KV,918
115,T456,2024-07-09 08:09:39.920718,ILCK_IR_T7_01,ILCK_IR_T7_01,T2_1Q2_IR,Cod 01. Mancanza tensione di linea su treno locale,918
116,T456,2024-07-09 08:09:40.180873,ILCK_IR_T7_41,ILCK_IR_T7_41,T2_1Q2_IR,Cod 41. Line Voltage Type non 3KV,918
117,T456,2024-07-09 08:09:40.440984,ILCK_PROP_05,ILCK_PROP_05,VEHICLE,Cod. 05 Taglio trazione da SSB attivo,918
118,T456,2024-07-09 08:09:40.702998,ILCK_Panto_T2_07,ILCK_Panto_T2_07,T2_PANTO,Cod 07. Comando abbassamento panto richiesto da remoto,918
119,T456,2024-07-09 08:09:40.964817,ILCK_Panto_T7_12,ILCK_Panto_T7_12,T7_PANTO,Cod 12. Abbassamento Panto richiesto dal segnalamento,918
120,T456,2024-07-09 08:09:41.225463,23219,_MCQ1SwitchSts_,TCU_M3,Guasto interruttore di isolamento 25 kV (stato),918
121,T456,2024-07-09 08:09:41.487646,26219,_MCQ1SwitchSts_,TCU_M6,Guasto interruttore di isolamento 25 kV (stato),918
122,T456,2024-07-09 08:09:41.746542,28219,_MCQ1SwitchSts_,TCU_M8,Guasto interruttore di isolamento 25 kV (stato),918
123,T456,2024-07-09 08:09:42.006508,158022,_HvOnBoardUnit_,T7_1Q4_IP,Alta tensione non presente in M8-T5,918
124,T456,2024-07-09 08:09:42.267538,EVT_Panto_T2_07,EVT_Panto_T2_07,T2_PANTO,Cod 07. Comando abbassamento panto richiesto da remoto,918
1219,T456,2024-07-09 09:05:44.376725,102036,_IDoorUnblock_,T2_Porta_gangway_2,Guasto microswitch porta Gangway 2,875
1597,T456,2024-07-09 09:20:20.409121,82093,_SnsDmprY70_,HVAC_T2,Guasto al sensore del damper Y70,263
1783,T456,2024-07-09 09:37:35.396589,ILCK_PROP_13M8,ILCK_PROP_13_M8,MDS,Cod. 13 Leva MC 6S01 non in trazione,168
2179,T456,2024-07-09 10:03:47.681863,85093,_SnsDmprY70_,HVAC_T5,Guasto al sensore del damper Y70,851
2361,T456,2024-07-09 10:12:30.599802,48357,BRKSTS_TL_Inc1,FRENO,Incongruenza BRAKE_STATUS_TL e manettino di frenatura M8,51
2362,T456,2024-07-09 10:12:31.387329,ILCK_PROP_03,ILCK_PROP_03,VEHICLE,Cod. 03 Comando di frenatura da manipolatore attivo,51
2525,T456,2024-07-09 10:29:45.279288,158021,_LowSpdTL_,M8_9K42,Linea treno Velocita' zero  attiva in M8-T5,864
2526,T456,2024-07-09 10:29:46.499404,ILCK_PROP_04,ILCK_PROP_04,VEHICLE,Cod. 04 Condotta Generale scarica,864
2693,T456,2024-07-09 11:00:26.645772,108030,_IDoorDCSFlt_,M8_Porta_gangway_1,Guasto microswitch porta Gangway,438
2726,T456,2024-07-09 11:02:48.360463,11201,CCU_FltWtbR2,VEHICLE,Mancata ricezione R2 in CCU M1,645
2947,T456,2024-07-09 11:11:55.058923,ILCK_IRIP_T7_56,ILCK_IRIP_T7_56,T7_MCB,Cod 56. Apertura da TCU1  locale (M8),914
2948,T456,2024-07-09 11:11:55.264403,ILCK_IRIP_T7_57,ILCK_IRIP_T7_57,T7_MCB,Cod 57. Apertura da TCU2  locale (M6),914
2949,T456,2024-07-09 11:11:55.470047,ILCK_IRIP_T7_58,ILCK_IRIP_T7_58,T7_MCB,Cod 58. Apertura da TCU1 remota (M1),914
2950,T456,2024-07-09 11:11:55.672869,ILCK_IRIP_T7_59,ILCK_IRIP_T7_59,T7_MCB,Cod 59. Apertura da TCU2 remota (M3),914
3143,T456,2024-07-09 11:29:26.040569,ILCK_PROP_03,ILCK_PROP_03,VEHICLE,Cod. 03 Comando di frenatura da manipolatore attivo,439
3307,T456,2024-07-09 11:59:50.882678,ILCK_PROP_04,ILCK_PROP_04,VEHICLE,Cod. 04 Condotta Generale scarica,661
3308,T456,2024-07-09 11:59:50.982354,ILCK_IR_T2_01,ILCK_IR_T2_01,T2_1Q2_IR,Cod 01. Mancanza tensione di linea su treno locale,830
3309,T456,2024-07-09 11:59:51.38944,ILCK_IR_T2_40,ILCK_IR_T2_40,T2_1Q2_IR,Cod 40. Contattore 1Q1 non nello stato DC,830
3310,T456,2024-07-09 11:59:51.416351,ILCK_PROP_14,ILCK_PROP_14,MDS,Cod. 14 Nessuna direzione impostata,661
3525,T456,2024-07-09 12:07:27.308503,ILCK_PROP_01,ILCK_PROP_01,VEHICLE,Cod. 01 Max fren. di servizio richiesta da segnalamento,219
3723,T456,2024-07-09 12:13:46.803982,13051,_HVACpxNotOK_,HVAC_M3,Perdita di comunicazione con HVAC M3,276
3955,T456,2024-07-09 12:39:25.234381,EVT_IR_T7_01,EVT_IR_T7_01,T2_1Q2_IR,Cod 01. Mancanza tensione di linea su treno locale,789
4169,T456,2024-07-09 13:00:06.038709,107028,_IDoorUnblock_,T7_Porta_gangway_1,Guasto microswitch porta Gangway 1,437
4170,T456,2024-07-09 13:00:06.562009,207024,CCU_PCU_MVBKo,EPCU_T7,CCU: Mancata comunicazione MVB con la PCU T7,909
4295,T456,2024-07-09 13:06:52.187899,150016,_IRIP_OpenSts_,VEHICLE,Nessun IR o IP chiuso,914
4296,T456,2024-07-09 13:06:52.393937,151022,_HvOnBoardUnit_,T2_1Q4_IP,Alta tensione non presente in M1-T4,914
4297,T456,2024-07-09 13:06:52.598609,158022,_HvOnBoardUnit_,T7_1Q4_IP,Alta tensione non presente in M8-T5,914
4298,T456,2024-07-09 13:06:52.801601,ILCK_IP_T2_50,ILCK_IP_T2_50,T2_1Q4_IP,Cod 50. Assenza tensione 25KV,914
4299,T456,2024-07-09 13:06:53.007965,ILCK_IRIP_T2_57,ILCK_IRIP_T2_57,T2_MCB,Cod 57. Apertura da TCU2  locale (M3),914
4462,T456,2024-07-09 13:15:30.245942,10085,PntLow3,AT,Abbassamento pantogr. comandato da ERTMS,918
4626,T456,2024-07-09 13:32:14.910587,41357,BRKSTS_TL_Inc1,FRENO,Incongruenza BRAKE_STATUS_TL e manettino di frenatura M1,177
125,T456,2024-07-09 08:09:42.52844,EVT_Panto_T7_12,EVT_Panto_T7_12,T7_PANTO,Cod 12. Abbassamento Panto richiesto dal segnalamento,918
126,T456,2024-07-09 08:09:42.789779,ILCK_IRIP_T2_13,ILCK_IRIP_T2_13,T2_MCB,Cod 13. Apertura IR/IP da TRAIN LINE,918
127,T456,2024-07-09 08:09:43.050877,ILCK_IR_T2_40,ILCK_IR_T2_40,T2_1Q2_IR,Cod 40. Contattore 1Q1 non nello stato DC,918
128,T456,2024-07-09 08:09:43.312008,ILCK_IR_T7_42,ILCK_IR_T7_42,T2_1Q2_IR,Cod 42. Pantografo DC non alto,918
129,T456,2024-07-09 08:09:43.572573,ILCK_PROP_13M8,ILCK_PROP_13_M8,MDS,Cod. 13 Leva MC 6S01 non in trazione,918
130,T456,2024-07-09 08:09:43.833546,ILCK_PROP_21M8,ILCK_PROP_21M8,MDS,Cod. 21 AT non presente,918
131,T456,2024-07-09 08:10:14.87569,10085,PntLow3,AT,Abbassamento pantogr. comandato da ERTMS,914
132,T456,2024-07-09 08:10:15.079011,150010,_Poc_,VEHICLE,Ingresso in POC,914
133,T456,2024-07-09 08:10:15.283612,150016,_IRIP_OpenSts_,VEHICLE,Nessun IR o IP chiuso,914
134,T456,2024-07-09 08:10:15.488012,151022,_HvOnBoardUnit_,T2_1Q4_IP,Alta tensione non presente in M1-T4,914
135,T456,2024-07-09 08:10:15.693225,158022,_HvOnBoardUnit_,T7_1Q4_IP,Alta tensione non presente in M8-T5,914
136,T456,2024-07-09 08:10:15.896482,ILCK_IP_T2_50,ILCK_IP_T2_50,T2_1Q4_IP,Cod 50. Assenza tensione 25KV,914
137,T456,2024-07-09 08:10:16.102855,ILCK_IRIP_T2_57,ILCK_IRIP_T2_57,T2_MCB,Cod 57. Apertura da TCU2  locale (M3),914
138,T456,2024-07-09 08:10:16.30746,ILCK_IRIP_T7_03,ILCK_IRIP_T7_03,T7_MCB,Cod 03. Apertura Interruttore principale richiesto da TCU1 M8,914
139,T456,2024-07-09 08:10:16.512243,ILCK_IRIP_T7_09,ILCK_IRIP_T7_09,T2_1Q2_IR,Cod 09. Apertura Interruttore principale da ETCS,914
140,T456,2024-07-09 08:10:16.716625,ILCK_IRIP_T7_39,ILCK_IRIP_T7_39,T7_MCB,Cod 39. Master Controller non in IDLE,914
141,T456,2024-07-09 08:10:16.921272,ILCK_IRIP_T7_56,ILCK_IRIP_T7_56,T7_MCB,Cod 56. Apertura da TCU1  locale (M8),914
142,T456,2024-07-09 08:10:17.127193,ILCK_IRIP_T7_57,ILCK_IRIP_T7_57,T7_MCB,Cod 57. Apertura da TCU2  locale (M6),914
143,T456,2024-07-09 08:10:17.331478,ILCK_IRIP_T7_58,ILCK_IRIP_T7_58,T7_MCB,Cod 58. Apertura da TCU1 remota (M1),914
144,T456,2024-07-09 08:10:17.535934,ILCK_IRIP_T7_59,ILCK_IRIP_T7_59,T7_MCB,Cod 59. Apertura da TCU2 remota (M3),914
145,T456,2024-07-09 08:10:17.741115,ILCK_PROP_05,ILCK_PROP_05,VEHICLE,Cod. 05 Taglio trazione da SSB attivo,914
146,T456,2024-07-09 08:10:17.945895,ILCK_PROP_21M8,ILCK_PROP_21M8,MDS,Cod. 21 AT non presente,914
147,T456,2024-07-09 08:10:18.150698,ILCK_Panto_T2_07,ILCK_Panto_T2_07,T2_PANTO,Cod 07. Comando abbassamento panto richiesto da remoto,914
148,T456,2024-07-09 08:10:18.355086,ILCK_Panto_T7_12,ILCK_Panto_T7_12,T7_PANTO,Cod 12. Abbassamento Panto richiesto dal segnalamento,914
149,T456,2024-07-09 08:10:18.559912,26481,OPIR_OPQ1,Q1_M6,Apertura forzata IP-IR per apertura Q1,914
150,T456,2024-07-09 08:10:18.764513,ILCK_IRIP_T2_03,ILCK_IRIP_T2_03,T2_MCB,Cod 03. Apertura Interruttore principale richiesto da TCU1 M1,914
151,T456,2024-07-09 08:10:18.970042,ILCK_IRIP_T2_56,ILCK_IRIP_T2_56,T2_MCB,Cod 56. Apertura da TCU1  locale (M1),914
152,T456,2024-07-09 08:10:33.696366,151021,_LowSpdTL_,M1_9K42,Linea treno Velocita' zero  attiva in M1-T4,376
153,T456,2024-07-09 08:10:34.555012,158021,_LowSpdTL_,M8_9K42,Linea treno Velocita' zero  attiva in M8-T5,376
154,T456,2024-07-09 08:10:35.412401,ILCK_PROP_08,ILCK_PROP_08,VEHICLE,Cod. 08 Loop porte aperto,376
155,T456,2024-07-09 08:10:36.271043,ILCK_PROP_11M1,ILCK_PROP_11M1,MDS,Cod. 11 Rilascio Porte Destre Attivo,376
156,T456,2024-07-09 08:10:47.542411,18050,_HVACcabNotOK_,HVAC_CAB_M8,Perdita di comunicazione con HVAC cabina M1,203
157,T456,2024-07-09 08:10:49.007511,86079,_SnsrHighprssrB46_,HVAC_M6,Guasto sensore di pressione B46,203
158,T456,2024-07-09 08:11:00.947453,11050,_HVACcabNotOK_,HVAC_CAB_M1,Perdita di comunicazione con HVAC cabina M1,919
159,T456,2024-07-09 08:11:00.965578,11051,_HVACpxNotOK_,HVAC_M1,Perdita di comunicazione con HVAC M1,919
160,T456,2024-07-09 08:11:00.983053,12051,_HVACpxNotOK_,HVAC_T2,Perdita di comunicazione con HVAC T2,919
161,T456,2024-07-09 08:11:01.002471,13051,_HVACpxNotOK_,HVAC_M3,Perdita di comunicazione con HVAC M3,919
162,T456,2024-07-09 08:11:01.021122,14051,_HVACpxNotOK_,HVAC_T4,Perdita di comunicazione con HVAC T4,919
